ID,ESG_DISC_SCORE,YEAR
DFFN US Equity,7.851200104,2013
DFFN US Equity,11.15699959,2014
DFFN US Equity,15.28929996,2017
DFFN US Equity,16.52890015,2020
AIV US Equity,14.04959965,2010
AIV US Equity,15.28929996,2011
AIV US Equity,16.52890015,2012
AIV US Equity,18.59499931,2013
AIV US Equity,21.07439995,2017
AIV US Equity,22.31399918,2018
AIV US Equity,21.48760033,2019
GROW US Equity,13.5965004,2010
GROW US Equity,14.47369957,2011
NHTC US Equity,10.33059978,2014
NHTC US Equity,12.80990028,2015
NAT US Equity,5.371900082,2010
NAT US Equity,7.024799824,2016
NAT US Equity,10.33059978,2017
CASI US Equity,11.15699959,2010
CASI US Equity,9.91740036,2015
CASI US Equity,14.04959965,2016
CASI US Equity,16.11569977,2019
ONVO US Equity,9.91740036,2011
ONVO US Equity,8.677700043,2012
ONVO US Equity,11.98349953,2014
ONVO US Equity,11.15699959,2015
ONVO US Equity,12.80990028,2017
AWRE US Equity,11.15699959,2010
AWRE US Equity,15.28929996,2015
EMKR US Equity,13.22309971,2010
EMKR US Equity,14.04959965,2015
EMKR US Equity,15.28929996,2016
EMKR US Equity,16.52890015,2018
EMKR US Equity,17.76860046,2020
TLFA US Equity,17.70330048,2010
TLFA US Equity,23.44499969,2012
TLFA US Equity,22.00959969,2017
REED US Equity,9.090900421,2010
REED US Equity,11.15699959,2012
REED US Equity,12.39669991,2014
REED US Equity,11.98349953,2017
SVRA US Equity,14.04959965,2015
SVRA US Equity,16.11569977,2017
SIEB US Equity,11.84210014,2010
SIEB US Equity,10.52630043,2012
SIEB US Equity,16.66670036,2017
AAIC US Equity,11.84210014,2010
AAIC US Equity,14.03509998,2012
AAIC US Equity,17.54389954,2016
AAIC US Equity,18.85960007,2018
BDR US Equity,15.28929996,2010
SRNE US Equity,6.611599922,2010
SRNE US Equity,11.15699959,2011
SRNE US Equity,10.33059978,2013
SRNE US Equity,15.28929996,2017
PRPO US Equity,11.15699959,2010
CLRO US Equity,11.15699959,2010
CLRO US Equity,14.46280003,2017
CLRO US Equity,16.52890015,2018
CRD/A US Equity,11.98349953,2010
CRD/A US Equity,13.63640022,2017
CRD/A US Equity,16.94210052,2018
SUP US Equity,11.15699959,2010
SUP US Equity,11.98349953,2014
SUP US Equity,14.8760004,2016
SUP US Equity,19.83469963,2018
SUP US Equity,18.59499931,2020
LWLG US Equity,10.33059978,2010
LWLG US Equity,11.15699959,2016
LWLG US Equity,12.80990028,2017
MFA US Equity,11.15699959,2010
MFA US Equity,16.52890015,2015
MFA US Equity,17.35540009,2016
MFA US Equity,19.83469963,2018
MFA US Equity,16.11569977,2020
GEO US Equity,11.15699959,2010
GEO US Equity,14.8760004,2015
GEO US Equity,21.48760033,2016
GEO US Equity,22.72730064,2017
GEO US Equity,28.92560005,2018
GEO US Equity,38.8429985,2019
FARM US Equity,14.8760004,2010
FARM US Equity,16.11569977,2011
FARM US Equity,21.07439995,2013
FARM US Equity,24.38019943,2014
FARM US Equity,19.83469963,2015
FARM US Equity,31.40500069,2017
FARM US Equity,52.06610107,2018
FARM US Equity,53.30580139,2019
FARM US Equity,52.47930145,2020
SCOR US Equity,13.22309971,2010
SCOR US Equity,11.15699959,2011
SCOR US Equity,14.04959965,2017
SCOR US Equity,17.35540009,2018
ITI US Equity,11.15699959,2010
ITI US Equity,9.91740036,2013
ITI US Equity,16.52890015,2017
ACER US Equity,11.98349953,2015
ACER US Equity,10.74380016,2016
ACER US Equity,14.04959965,2017
ACER US Equity,14.8760004,2018
CVV US Equity,11.15699959,2010
CVV US Equity,14.04959965,2017
CVV US Equity,16.52890015,2020
WTT US Equity,12.80990028,2010
WTT US Equity,14.04959965,2016
WTT US Equity,16.52890015,2017
GURE US Equity,14.04959965,2010
GURE US Equity,13.22309971,2013
GAIA US Equity,14.04959965,2010
GAIA US Equity,15.70250034,2012
