Date,Returns
2010-01-05,0.003759416192470364
2010-01-06,-0.006265279100907701
2010-01-07,0.013858373220936835
2010-01-08,0.010731270348392668
2010-01-11,0.006232500195052018
2010-01-12,-0.013093533319861416
2010-01-13,0.01192201948834377
2010-01-14,0.005649588109732027
2010-01-15,-0.01238877716110554
2010-01-19,0.01614555755783228
2010-01-20,-0.013568621683615048
2010-01-21,0.0010965187072149985
2010-01-22,-0.007400584276230771
2010-01-25,-0.007546352630196621
2010-01-26,-0.013257108418642659
2010-01-27,-0.0022596756905139477
2010-01-28,-0.005588998086546236
2010-01-29,-0.0038620754165251936
2010-02-01,0.009788206793784561
2010-02-02,0.010398066452908573
2010-02-03,-0.005965308097615078
2010-02-04,-0.030516307623554402
2010-02-05,0.003879657654371455
2010-02-08,-0.0012282119988779338
2010-02-09,0.009917306999597137
2010-02-10,0.002421375646142792
2010-02-11,0.01137348920586946
2010-02-12,0.011939065452929125
2010-02-16,0.008140987086746987
2010-02-17,0.0016923785103785936
2010-02-18,0.006167318295774246
2010-02-19,0.0035026360829653325
2010-02-22,0.006116948485260256
2010-02-23,-0.008375514685902715
2010-02-24,0.001194720456110544
2010-02-25,0.001014315338505905
2010-02-26,-0.004506669055682364
2010-03-01,0.015274575764971352
2010-03-02,0.0003018897521561637
2010-03-03,0.0003858485233906989
2010-03-04,-0.0027084425877723635
2010-03-05,0.013891432047452962
2010-03-08,0.005914228065137849
2010-03-09,-0.00014856768051438904
2010-03-10,0.009710813392033748
2010-03-11,0.005763177828108546
2010-03-12,-0.004973134003802127
2010-03-15,-0.005671168388854328
2010-03-16,0.015260014693553465
2010-03-17,0.0010897151938120088
2010-03-18,-0.012430904995892434
2010-03-19,-0.008900610823116287
2010-03-22,0.006411050623954489
2010-03-23,0.00984396102377566
2010-03-24,-0.0016868597121445193
2010-03-25,-0.006951451446303382
2010-03-26,0.008876733192070227
2010-03-29,0.010120211324155574
2010-03-30,0.005408638713070402
2010-03-31,-0.008420503530686126
2010-04-01,0.011246419220777954
2010-04-05,0.014546098353759997
2010-04-06,-0.004025685731825866
2010-04-07,0.0010866231558474587
2010-04-08,0.006412885311592431
2010-04-09,0.001419109945977686
2010-04-12,0.007971857750067568
2010-04-13,-0.0014261601795787322
2010-04-14,0.015429829121474748
2010-04-15,0.0075620723293397625
2010-04-16,-0.004682743661777524
2010-04-19,-0.003052841017463182
2010-04-20,0.01641534914601304
2010-04-21,0.0049530501402894715
2010-04-22,0.010974060891261383
2010-04-23,0.017019184241011988
2010-04-26,0.0062645575868490585
2010-04-27,-0.015693490399825746
2010-04-28,0.0031622822482033903
2010-04-29,0.010780677762609527
2010-04-30,-0.014684301572525012
2010-05-03,0.014059213384638532
2010-05-04,-0.025898221984033694
2010-05-05,-0.013667948094389402
2010-05-06,-0.04113152528901314
2010-05-07,-0.01746817534712175
2010-05-10,0.041679170884575935
2010-05-11,0.0004871621209388947
2010-05-12,0.021421097717681345
2010-05-13,-0.0021404287289006336
2010-05-14,-0.007481764344403436
2010-05-17,0.0006776254639051403
2010-05-18,-0.010309758484906721
2010-05-19,-0.015903228351912005
2010-05-20,-0.04830334643463932
2010-05-21,0.012443510812265845
2010-05-24,0.00039867801191728207
2010-05-25,-0.006407072526566286
2010-05-26,0.006201676805287875
2010-05-27,0.038940648018327285
2010-05-28,-0.007368645121716222
2010-06-01,-0.03065814699845442
2010-06-02,0.021248271300326426
2010-06-03,0.005322115570068164
2010-06-04,-0.035133655524100964
2010-06-07,-0.018716703203834263
2010-06-08,0.0021721057621314384
2010-06-09,-0.000944718765686931
2010-06-10,0.020245727651025183
2010-06-11,0.010756765474614594
2010-06-14,0.001114164802044855
2010-06-15,0.013478657675774601
2010-06-16,-0.0040293280963138
2010-06-17,0.0028875264556955556
2010-06-18,0.011679040186791943
2010-06-21,-0.013954164771751142
2010-06-22,-0.010478325860004703
2010-06-23,0.000541034965154326
2010-06-24,-0.016017828386619297
2010-06-25,0.004982011381633868
2010-06-28,0.0009210480842999448
2010-06-29,-0.0351546244151208
2010-06-30,-0.007212180335673963
2010-07-01,-0.012665314222376316
2010-07-02,-0.0005221340614040374
2010-07-06,-0.008171623823574057
2010-07-07,0.01571087249326567
2010-07-08,0.003878277760130532
2010-07-09,0.012341149755344807
2010-07-12,-0.01074416625049327
2010-07-13,0.024420131704662045
2010-07-14,-0.0022685675321654575
2010-07-15,-0.011567895016479682
2010-07-16,-0.024029406713265304
2010-07-19,0.0024643419341718745
2010-07-20,0.002211352035446683
2010-07-21,-0.009180245567758994
2010-07-22,0.016049847411297398
2010-07-23,0.014471994171396453
2010-07-26,0.011104755320981033
2010-07-27,0.0008675710759188102
2010-07-28,-0.0053975128183991455
2010-07-29,0.009827970406631187
2010-07-30,0.00353362373255046
2010-08-02,0.009022912491508953
2010-08-03,0.013165589789677162
2010-08-04,0.002710514782590787
2010-08-05,0.002589591524719428
2010-08-06,-0.00717789173819362
2010-08-09,0.003367397669132858
2010-08-10,-0.008584982451281838
2010-08-11,-0.028801163496359212
2010-08-12,-0.002859124502219485
2010-08-13,-0.005907414634428251
2010-08-16,0.00829950506809402
2010-08-17,0.015132499561304824
2010-08-18,0.006265336164412759
2010-08-19,-0.018067398880458305
2010-08-20,0.0014179138249457849
2010-08-23,-0.0075959464298170605
2010-08-24,-0.01686681384169527
2010-08-25,-0.0037693317460538423
2010-08-26,-0.004233098727445604
2010-08-27,0.015012594651336711
2010-08-30,-0.01608503043527972
2010-08-31,0.006841252195935237
2010-09-01,0.02581674490276159
2010-09-02,0.005499526115375203
