Date,Returns
2010-01-04,0.005407691989615285
2010-01-05,0.018686553219548933
2010-01-06,0.012717946911462462
2010-01-07,-0.0065500465473801745
2010-01-08,0.004160703491086081
2010-01-11,0.008079383576192149
2010-01-12,0.0015861213076692558
2010-01-13,-0.0032737931659047544
2010-01-14,-0.02118209008278439
2010-01-15,-0.029104213517646638
2010-01-19,-0.008340177872044927
2010-01-20,0.007890603410177333
2010-01-21,-0.02755388770998752
2010-01-22,-0.01685579458567988
2010-01-25,-0.0022658580227571537
2010-01-26,-0.009015289112858621
2010-01-27,0.011958117934395718
2010-01-28,0.005129282401694248
2010-01-29,-0.0024595993239073994
2010-02-01,0.01931557241097552
2010-02-02,-0.0015848242338159428
2010-02-03,0.007404168515606602
2010-02-04,-0.021218297585375565
2010-02-05,0.00923927970907702
2010-02-08,0.004972539079335797
2010-02-09,-0.004313839893218566
2010-02-10,-0.0006357315341145627
2010-02-11,-0.0014074659030484057
2010-02-12,0.5158444378782554
2010-02-16,0.005181612087050714
2010-02-17,0.002484658888373969
2010-02-18,0.024632528665951038
2010-02-19,0.0037320332813305882
2010-02-22,0.0005690753036882536
2010-02-23,-0.009358514080451014
2010-02-24,0.0011975769985552195
2010-02-25,0.01708942924962854
2010-02-26,0.005820954180074507
2010-03-01,0.0005926104706575203
2010-03-02,-0.006688438084124493
2010-03-03,0.030787223927301682
2010-03-04,-0.014171502484717114
2010-03-05,0.002411640923117203
2010-03-08,-0.018278524115288283
2010-03-09,0.18872600542471762
2010-03-10,0.05305070186100432
2010-03-11,0.004951028797020377
2010-03-12,-0.015214567184173
2010-03-15,-0.01878721417130512
2010-03-16,0.043575089772000135
2010-03-17,0.014058488617223827
2010-03-18,-0.0019285176173630728
2010-03-19,0.21735635380694995
2010-03-22,0.005416740086144721
2010-03-23,0.009440814087876136
2010-03-24,0.024662948000611983
2010-03-25,0.025899217751987957
2010-03-26,-0.02506715467304739
2010-03-29,-0.008814293552392622
2010-03-30,0.017471256164534373
2010-03-31,-0.011718008915358864
2010-04-01,0.06405562522095279
2010-04-05,-0.014876933271650081
2010-04-06,0.01523552405604306
2010-04-07,-0.0047188379845266816
2010-04-08,0.006483043988368778
2010-04-09,-0.014626307062717274
2010-04-12,-0.012552474344426901
2010-04-13,0.20634878101856063
2010-04-14,0.008388939417802506
2010-04-15,-0.027790506834760084
2010-04-16,0.12627274595720311
2010-04-19,-0.03125536993370587
2010-04-20,0.05202815600843145
2010-04-21,-0.005760077817259984
2010-04-22,-0.015494845509322801
2010-04-23,0.009031594209197165
2010-04-26,0.019910966412777956
2010-04-27,-0.014568120444847779
2010-04-28,0.011532161736786211
2010-04-29,-0.014571357630540344
2010-04-30,0.09307342264476907
2010-05-03,-0.011208381996717096
2010-05-04,0.3432522113924426
2010-05-05,-0.003892014426491541
2010-05-06,-0.012809587105446198
2010-05-07,0.10922796457146704
2010-05-10,-0.007157777869460934
2010-05-11,0.08614122740904649
2010-05-12,0.03269715883605528
2010-05-13,-0.01964149162654137
2010-05-14,-0.013444845508791135
2010-05-17,-0.007529136823939694
2010-05-18,-0.010826766863449177
2010-05-19,-0.01601487767638734
2010-05-20,-0.00895788908671237
2010-05-21,0.018782025672189787
2010-05-24,-0.02790744848725985
2010-05-25,0.03550047845880297
2010-05-26,0.024492492188196373
2010-05-27,-0.008875521241990595
2010-05-28,0.03085571227279936
2010-06-01,-0.005725864124356662
2010-06-02,0.045040402075604606
2010-06-03,0.07940213839508099
2010-06-04,-0.022130884617013284
2010-06-07,0.0766915239668403
2010-06-08,-0.012774844024954253
2010-06-09,0.000586019169695943
2010-06-10,0.008918809389236454
2010-06-11,-0.024381370787993253
2010-06-14,0.040536717378976524
2010-06-15,0.10298002678100959
2010-06-16,-0.023080443855710404
2010-06-17,0.09538153069097187
2010-06-18,-0.0016474726582095323
2010-06-21,-0.03412312372247474
2010-06-22,0.011346014438945479
2010-06-23,0.037285837048043065
2010-06-24,-0.017572878751472072
2010-06-25,0.09333360172737976
2010-06-28,0.07754195400386096
2010-06-29,-0.013536146851489662
2010-06-30,-0.0379514382965334
2010-07-01,-0.002557618236153695
2010-07-02,0.02544777592260694
2010-07-06,-0.0011453673506232596
2010-07-07,0.002567191502997486
2010-07-08,0.07645721682389622
2010-07-09,0.008513969510931037
2010-07-12,0.001379776606601651
2010-07-13,0.0038873644613503225
2010-07-14,-0.0018777463801149356
2010-07-15,0.0022277315980449184
2010-07-16,0.005492359507177312
2010-07-19,-0.006200784473795588
2010-07-20,0.024821376965003413
2010-07-21,-0.01722766533815876
2010-07-22,-0.005272241150444495
2010-07-23,-0.009490462062146768
2010-07-26,0.037379372244933276
2010-07-27,-0.009394281703798945
2010-07-28,0.03459504936225757
2010-07-29,0.034015042681727295
2010-07-30,9.330525710191714e-05
2010-08-02,8.906064784941945e-05
2010-08-03,0.01223581792948928
2010-08-04,0.0023806737163406615
2010-08-05,-0.003224839766772335
2010-08-06,0.0018408628857370397
2010-08-09,0.0040289334666284505
2010-08-10,-0.01047408226520517
2010-08-11,0.08257708990453555
2010-08-12,0.0010263126427117902
2010-08-13,-0.014951829977272011
2010-08-16,0.044602900928653405
2010-08-17,0.06119980334547998
2010-08-18,-0.02242816867653706
2010-08-19,0.08642789157600535
2010-08-20,0.02148760028530125
2010-08-23,-0.032568186467404746
2010-08-24,0.006975967436993055
2010-08-25,-0.0070226081810582045
2010-08-26,-0.009508063207463922
2010-08-27,0.03896706624774586
2010-08-30,0.017256709624251975
2010-08-31,0.5520073810056543
2010-09-01,-0.0371786635334711
